row_id,user_id,video_id,score
0,0,7531,0.5
1,0,4214,0.5
2,1,1184,0.5
3,2,5664,0.5
4,2,5633,0.5
5,3,3871,0.5
6,3,2981,0.5
7,3,1079,0.5
8,4,4672,0.5
9,4,2826,0.5
10,4,7136,0.5
11,4,5692,0.5
12,5,454,0.5
13,5,299,0.5
14,7,5474,0.5
15,7,5474,0.5
16,7,509,0.5
17,8,4761,0.5
18,8,4761,0.5
19,14,2075,0.5
20,15,1634,0.5
21,15,7199,0.5
22,15,6678,0.5
23,15,4191,0.5
24,15,4734,0.5
25,16,6205,0.5
26,16,4640,0.5
27,16,2986,0.5
28,16,985,0.5
29,16,706,0.5
30,16,4277,0.5
31,16,4856,0.5
32,16,5975,0.5
33,16,5975,0.5
34,16,6476,0.5
35,17,5135,0.5
36,18,6601,0.5
37,18,6270,0.5
38,19,6732,0.5
39,19,3158,0.5
40,21,3970,0.5
41,21,4644,0.5
42,21,4656,0.5
43,21,5618,0.5
44,23,1725,0.5
45,23,5242,0.5
46,23,823,0.5
47,23,3917,0.5
48,23,5928,0.5
49,23,5928,0.5
50,24,6120,0.5
51,24,4894,0.5
52,25,5943,0.5
53,25,2731,0.5
54,25,101,0.5
55,25,432,0.5
56,26,6063,0.5
57,26,780,0.5
58,26,5933,0.5
59,27,5391,0.5
60,27,728,0.5
61,27,4644,0.5
62,27,5158,0.5
63,27,4570,0.5
64,27,5450,0.5
65,28,3028,0.5
66,29,5774,0.5
67,29,4486,0.5
68,29,1670,0.5
69,29,5277,0.5
70,29,5975,0.5
71,29,5975,0.5
72,29,3154,0.5
73,29,2594,0.5
74,31,1957,0.5
75,31,4172,0.5
76,31,3791,0.5
77,35,2081,0.5
78,35,1868,0.5
79,36,1694,0.5
80,36,6600,0.5
81,38,2594,0.5
82,38,6769,0.5
83,38,38,0.5
84,38,5522,0.5
85,39,2757,0.5
86,39,2826,0.5
87,39,7317,0.5
88,39,1014,0.5
89,41,5000,0.5
90,41,6346,0.5
91,41,4506,0.5
92,43,3343,0.5
93,45,6694,0.5
94,45,1537,0.5
95,46,7181,0.5
96,46,6775,0.5
97,46,382,0.5
98,46,1321,0.5
99,46,4634,0.5
100,46,747,0.5
101,46,4278,0.5
102,46,3685,0.5
103,46,1634,0.5
104,46,2564,0.5
105,46,180,0.5
106,46,6471,0.5
107,46,4673,0.5
108,46,7370,0.5
109,46,1861,0.5
110,46,3155,0.5
111,47,309,0.5
112,48,7374,0.5
113,49,6818,0.5
114,49,3203,0.5
115,49,6870,0.5
116,49,2648,0.5
117,50,2618,0.5
118,50,7511,0.5
119,50,2653,0.5
120,50,1957,0.5
121,52,5118,0.5
122,53,2395,0.5
123,53,5633,0.5
124,53,6191,0.5
125,53,4277,0.5
126,53,4631,0.5
127,53,4640,0.5
128,53,2963,0.5
129,54,2313,0.5
130,54,4980,0.5
131,55,985,0.5
132,55,4420,0.5
133,55,969,0.5
134,55,6231,0.5
135,55,780,0.5
136,57,1381,0.5
137,57,1725,0.5
138,58,5186,0.5
139,58,1544,0.5
140,58,7140,0.5
141,58,2201,0.5
142,58,6613,0.5
143,58,860,0.5
144,58,5239,0.5
145,58,156,0.5
146,58,5616,0.5
147,60,4971,0.5
148,61,6303,0.5
149,62,7474,0.5
150,62,3709,0.5
151,62,6789,0.5
152,62,4737,0.5
153,64,2313,0.5
154,64,6095,0.5
155,64,4391,0.5
156,64,5331,0.5
157,64,6117,0.5
158,64,6406,0.5
159,64,5094,0.5
160,64,3275,0.5
161,64,5759,0.5
162,64,2871,0.5
163,64,3913,0.5
164,65,678,0.5
165,65,1146,0.5
166,65,6291,0.5
167,65,1934,0.5
168,67,2395,0.5
169,67,1458,0.5
170,67,2413,0.5
171,68,7399,0.5
172,68,5239,0.5
173,68,3113,0.5
174,68,2426,0.5
175,70,3721,0.5
176,70,3553,0.5
177,71,3130,0.5
178,71,2644,0.5
179,71,5239,0.5
180,71,3504,0.5
181,71,5639,0.5
182,71,6979,0.5
183,73,6346,0.5
184,73,2413,0.5
185,73,5456,0.5
186,73,3665,0.5
187,73,3504,0.5
188,73,3913,0.5
189,73,7104,0.5
190,73,5014,0.5
191,73,5346,0.5
192,73,382,0.5
193,73,3574,0.5
194,73,4649,0.5
195,73,3647,0.5
196,73,2435,0.5
197,73,5239,0.5
198,73,650,0.5
199,73,3507,0.5
200,73,2712,0.5
201,73,6211,0.5
202,73,4894,0.5
203,73,6425,0.5
204,74,977,0.5
205,74,2313,0.5
206,74,2146,0.5
207,75,1323,0.5
208,75,1079,0.5
209,75,4734,0.5
210,76,3810,0.5
211,76,3799,0.5
212,76,5907,0.5
213,76,5996,0.5
214,79,117,0.5
215,79,2949,0.5
216,80,7241,0.5
217,81,5618,0.5
218,81,7466,0.5
219,81,4278,0.5
220,81,2790,0.5
221,81,6769,0.5
222,82,5679,0.5
223,82,2771,0.5
224,82,4161,0.5
225,82,6236,0.5
226,82,3533,0.5
227,83,5675,0.5
228,83,7212,0.5
229,83,4640,0.5
230,84,2517,0.5
231,85,3964,0.5
232,85,7474,0.5
233,86,4644,0.5
234,91,2383,0.5
235,91,7485,0.5
236,92,2383,0.5
237,94,6369,0.5
238,94,1440,0.5
239,95,5567,0.5
240,95,5296,0.5
241,95,1248,0.5
242,96,393,0.5
243,97,2126,0.5
244,98,985,0.5
245,99,5538,0.5
246,99,2962,0.5
247,99,4751,0.5
248,100,119,0.5
249,100,1594,0.5
250,100,269,0.5
251,100,6832,0.5
252,100,5759,0.5
253,100,5239,0.5
254,100,3001,0.5
255,100,1993,0.5
256,100,3763,0.5
257,100,4272,0.5
258,101,6441,0.5
259,101,7105,0.5
260,102,6910,0.5
261,102,5314,0.5
262,102,2004,0.5
263,102,5633,0.5
264,102,7017,0.5
265,102,3018,0.5
266,102,3858,0.5
267,102,5683,0.5
268,102,2141,0.5
269,102,5826,0.5
270,104,3570,0.5
271,105,3232,0.5
272,105,3418,0.5
273,105,4750,0.5
274,106,4642,0.5
275,108,682,0.5
276,108,3005,0.5
277,109,2772,0.5
278,110,626,0.5
279,110,3159,0.5
280,110,3018,0.5
281,110,5400,0.5
282,110,1537,0.5
283,111,1822,0.5
284,111,1749,0.5
285,111,6019,0.5
286,111,5585,0.5
287,112,1133,0.5
288,112,908,0.5
289,112,1694,0.5
290,113,7172,0.5
291,113,655,0.5
292,113,3310,0.5
293,113,5567,0.5
294,113,1868,0.5
295,114,3999,0.5
296,114,2435,0.5
297,114,2435,0.5
298,114,5001,0.5
299,115,2368,0.5
300,115,6815,0.5
301,115,7336,0.5
302,115,4715,0.5
303,115,4171,0.5
304,115,2309,0.5
305,115,2260,0.5
306,115,4702,0.5
307,115,5392,0.5
308,115,605,0.5
